student_id,attendance,internal_marks,assignment_score,study_hours,participation,final_score
1,80,75,78,3,70,79
1,85,78,80,3,72,82
1,88,82,83,4,74,85

2,85,80,82,3,70,84
2,90,88,85,4,75,89
2,92,90,88,5,78,91

3,65,60,58,2,55,62
3,70,65,60,2,60,68
3,72,68,65,3,62,95

4,90,88,85,4,80,90
4,95,92,90,5,85,83
4,96,94,92,5,88,96

5,75,70,72,3,68,74
5,80,75,78,3,72,79
5,82,78,80,4,74,82

6,55,50,52,2,45,58
6,60,55,58,2,50,62
6,62,58,60,3,52,64

7,85,80,78,3,70,83
7,88,84,82,4,76,87
7,90,86,84,4,78,93

8,88,85,84,4,75,90
8,92,90,88,5,80,91
8,94,92,90,5,82,95

9,70,65,68,3,60,72
9,75,70,72,3,65,74
9,78,72,75,4,68,77

10,65,58,60,2,50,64
10,68,60,65,2,55,66
10,70,62,68,3,58,69

